,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
400,1,0,0,2,3,1,2,2,2,2,2,1,1
401,0,0,0,3,2,1,2,2,2,2,2,2,2
402,2,0,0,0,2,0,2,1,1,0,2,2,1
403,2,2,1,0,0,0,1,1,1,1,1,1,1
404,0,0,0,2,3,0,2,2,2,0,2,0,2
405,0,2,0,0,0,0,1,1,0,0,1,1,1
406,0,0,0,2,2,0,1,2,2,0,2,0,2
407,0,0,0,2,2,0,2,2,2,0,2,2,2
408,0,3,1,5,2,1,2,2,2,2,1,0,2
409,0,2,0,1,0,1,2,2,2,2,1,0,2
410,0,0,0,1,2,1,2,2,2,2,2,0,2
411,0,1,0,2,1,2,2,1,2,2,2,2,2
412,2,2,0,0,0,0,1,1,1,0,1,1,1
413,3,4,2,2,2,0,1,2,1,1,1,0,1
414,1,3,0,3,2,2,1,1,1,2,1,0,2
415,1,0,0,0,2,0,1,1,1,0,2,1,1
416,2,2,0,0,1,0,2,1,1,0,1,0,1
417,0,2,1,3,2,1,1,1,2,1,1,0,2
418,0,0,0,3,3,0,2,2,2,0,2,2,2
419,2,2,1,0,0,0,1,2,1,1,1,0,1
420,0,1,0,2,0,1,1,2,2,2,1,2,2
421,2,1,0,0,1,0,2,2,1,0,2,1,1
422,4,1,1,0,1,0,1,1,1,1,2,1,1
423,2,2,1,0,0,0,1,1,1,1,1,1,1
424,2,1,1,0,0,0,2,1,1,1,1,2,1
425,0,1,0,1,1,0,2,2,2,0,1,2,2
426,4,2,2,0,0,0,2,2,1,1,1,1,1
427,3,2,1,0,1,0,2,2,1,1,2,0,1
428,1,2,0,0,1,0,2,1,1,0,1,2,1
429,5,2,0,0,2,2,2,1,1,2,2,0,1
430,1,3,1,0,1,1,2,1,1,2,2,1,1
431,2,2,0,1,0,1,2,1,2,2,1,0,1
432,2,1,1,0,3,0,1,1,1,1,2,0,1
433,2,3,1,2,1,0,2,2,2,1,2,0,1
434,2,2,0,0,0,0,1,1,1,0,1,2,1
435,0,0,0,3,2,0,1,2,2,0,2,0,2
436,0,0,0,1,0,0,1,2,2,0,0,0,2
437,3,1,1,0,1,0,1,1,1,1,2,2,1
438,0,1,0,1,4,1,1,1,2,2,1,1,2
439,0,0,0,0,2,0,1,2,0,0,2,0,2
440,2,2,0,0,0,0,1,1,1,0,1,0,1
441,0,0,0,0,1,0,2,2,0,0,2,0,2
442,0,2,1,2,0,0,1,1,2,1,1,0,2
443,0,1,0,2,3,1,2,2,2,2,1,2,2
444,0,1,0,4,3,1,2,2,2,2,1,0,2
445,2,2,0,0,0,0,1,1,1,0,1,0,1
446,0,0,0,5,4,1,1,1,2,2,2,0,2
447,1,0,0,0,2,1,2,2,1,2,2,0,1
448,1,1,0,0,1,0,1,1,1,0,2,0,1
449,0,0,0,0,1,0,2,2,0,0,2,0,2
450,2,2,0,0,0,0,1,1,1,0,1,1,1
451,0,0,0,0,0,0,1,0,0,0,0,0,1
452,0,0,0,2,1,1,2,2,2,2,2,0,2
453,2,1,0,0,0,0,2,1,1,0,1,2,1
454,0,0,0,3,3,1,2,2,2,2,2,2,2
455,2,1,1,0,1,0,2,1,1,1,1,1,1
456,2,2,0,1,2,2,1,1,1,2,2,1,2
457,0,1,0,3,1,1,2,2,2,2,2,2,2
458,2,2,0,0,0,0,1,1,1,0,1,1,1
459,3,5,0,1,1,3,1,1,1,2,1,1,2
460,0,3,0,2,0,2,1,2,2,2,1,1,2
461,1,2,1,0,1,0,1,1,1,1,1,1,1
462,0,0,0,2,4,1,2,2,2,2,2,1,2
463,2,1,2,0,2,0,1,1,1,1,2,2,1
464,1,2,0,0,2,2,2,2,1,2,2,0,1
465,1,2,0,2,1,1,1,2,2,2,2,0,1
466,1,1,2,2,3,0,2,2,1,1,2,1,2
467,0,0,0,0,0,0,2,0,0,0,0,0,2
468,0,1,0,1,3,1,1,2,2,2,2,2,2
469,1,1,0,1,3,1,1,2,1,2,2,0,2
470,0,1,1,2,3,0,2,1,2,1,2,1,2
471,0,0,0,3,2,0,2,2,2,0,2,2,2
472,2,0,1,0,2,1,1,1,1,1,2,0,1
473,0,0,0,0,0,0,1,0,0,0,0,0,1
474,0,1,0,3,0,0,1,2,2,0,1,0,2
475,0,0,0,3,5,1,1,2,2,2,2,0,2
476,2,2,0,0,0,1,2,2,1,2,1,2,1
477,0,2,0,3,2,2,2,1,2,2,1,0,2
478,1,3,0,2,1,1,2,1,1,2,1,0,2
479,0,0,0,3,4,1,2,2,2,2,2,2,2
480,0,0,0,0,2,0,2,1,0,0,2,2,2
481,2,0,1,0,1,0,2,1,1,1,2,1,1
